,assignee,date filed,patent number,patent title
71,"Coherent, Inc.","April 20, 2011",8558859,"Laser printer with multiple laser-beam sources
"
72,"Coherent, Inc.","July 26, 2012",8537865,"Fiber-laser pumped by stabilized diode-laser bar stack
"
73,"Coherent, Inc.","June 22, 2010",8508844,"Hybrid fiber-MOPA
"
74,"Coherent, Inc.","August 30, 2011",8493670,"Large-field unit-magnification catadioptric projection system
"
75,"Coherent, Inc.","April 16, 2012",8483249,"Diode-laser bar package
"
76,"Coherent, Inc.","April 13, 2010",8477825,"Polarization maintaining multi-pass imaging system for thin-disk
     amplifiers and oscillators
"
77,"Coherent, Inc.","February 8, 2011",8477410,"Optical parametric oscillator pumped by femtosecond thin-disk laser
"
78,"Coherent, Inc.","January 19, 2010",8462427,"Carrier envelope phase stabilization of an optical amplifier
"
79,"Coherent, Inc.","June 27, 2012",8446926,"Broad-area edge-emitting semiconductor laser with limited thermal contact
"
80,"Coherent, Inc.","August 5, 2011",8411354,"Carrier-envelope-phase stabilization of a master oscillator optical
     amplifier system
"
81,"Coherent, Inc.","August 17, 2009",8411352,"Pulsed fiber-MOPA with widely-variable pulse-duration
"
82,"Coherent, Inc.","February 6, 2009",8391329,"Gas laser discharge pre-ionization using a simmer-discharge
"
83,"Coherent, Inc.","August 9, 2010",8391328,"Optical pumping of a solid-state gain-medium using a diode-laser bar stack
     with individually addressable bars
"
84,"Coherent, Inc.","May 25, 2011",8373924,"Frequency-tripled fiber MOPA
"
85,"Coherent, Inc.","March 23, 2010",8369373,"Pre-ionization method for CO.sub.2 gas-discharge laser
"
86,"Boston Scientific Scimed, Inc.","November 17, 2010",8358890,"Method and apparatus related to a side-fire member having a doped silica
     component
"
87,"Coherent, Inc.","August 20, 2012",8354893,"Impedance-matching transformers for RF driven CO.sub.2 gas discharge
     lasers
"
88,"Coherent, Inc.","September 1, 2009",8354611,"Laser engraving apparatus
"
89,"Coherent, Inc.","March 30, 2010",8351480,"Digital pulse-width-modulation control of a radio frequency power supply
     for pulsed laser
"
90,"Coherent, Inc.","June 10, 2010",8325771,"Cavity-dumped pulsed solid-state laser with variable pulse-duration
"
91,"Coherent, Inc.","September 19, 2011",8290017,"Hermetically-sealed RF feed-through with integrated capacitor
"
92,"Coherent, Inc.","June 9, 2009",8265116,"Hermetically-sealed RF feed-through with integrated capacitor
"
93,"Coherent, Inc.","September 17, 2009",8243765,"Intracavity frequency-converted optically-pumped semiconductor optical
     parametric oscillator
"
94,"Coherent, Inc.","April 22, 2011",8233513,"Broad-area edge-emitting semiconductor laser with limited thermal contact
"
95,"Coherent, Inc.","May 12, 2009",8201954,"Compensation for transient heating of laser mirrors
"
96,"Coherent, Inc.","April 20, 2011",8199789,"Arrangement for RF power delivery to a gas discharge laser with cascaded
     transmission line sections
"
97,"Coherent, Inc.","April 12, 2011",8174751,"Two frequency resonantly excited MEMS mirror for diode-laser marker
"
98,"Coherent, Inc.","September 11, 2009",8170073,"Optically-pumped external-cavity surface-emitting semiconductor lasers
     with front-cooled gain-structures
"
