,assignee,date filed,patent number,patent title
71,"Coherent, Inc.","April 20, 2011",8558859,"Laser printer with multiple laser-beam sources
"
72,"Coherent, Inc.","July 26, 2012",8537865,"Fiber-laser pumped by stabilized diode-laser bar stack
"
73,"Coherent, Inc.","June 22, 2010",8508844,"Hybrid fiber-MOPA
"
74,"Coherent, Inc.","August 30, 2011",8493670,"Large-field unit-magnification catadioptric projection system
"
75,"Coherent, Inc.","April 16, 2012",8483249,"Diode-laser bar package
"
76,"Coherent, Inc.","April 13, 2010",8477825,"Polarization maintaining multi-pass imaging system for thin-disk
     amplifiers and oscillators
"
77,"Coherent, Inc.","February 8, 2011",8477410,"Optical parametric oscillator pumped by femtosecond thin-disk laser
"
78,"Coherent, Inc.","January 19, 2010",8462427,"Carrier envelope phase stabilization of an optical amplifier
"
79,"Coherent, Inc.","June 27, 2012",8446926,"Broad-area edge-emitting semiconductor laser with limited thermal contact
"
80,"Coherent, Inc.","August 5, 2011",8411354,"Carrier-envelope-phase stabilization of a master oscillator optical
     amplifier system
"
81,"Coherent, Inc.","August 17, 2009",8411352,"Pulsed fiber-MOPA with widely-variable pulse-duration
"
82,"Coherent, Inc.","February 6, 2009",8391329,"Gas laser discharge pre-ionization using a simmer-discharge
"
83,"Coherent, Inc.","August 9, 2010",8391328,"Optical pumping of a solid-state gain-medium using a diode-laser bar stack
     with individually addressable bars
"
84,"Coherent, Inc.","May 25, 2011",8373924,"Frequency-tripled fiber MOPA
"
85,"Coherent, Inc.","March 23, 2010",8369373,"Pre-ionization method for CO.sub.2 gas-discharge laser
"
86,"Boston Scientific Scimed, Inc.","November 17, 2010",8358890,"Method and apparatus related to a side-fire member having a doped silica
     component
"
87,"Coherent, Inc.","August 20, 2012",8354893,"Impedance-matching transformers for RF driven CO.sub.2 gas discharge
     lasers
"
88,"Coherent, Inc.","September 1, 2009",8354611,"Laser engraving apparatus
"
89,"Coherent, Inc.","March 30, 2010",8351480,"Digital pulse-width-modulation control of a radio frequency power supply
     for pulsed laser
"
90,"Coherent, Inc.","June 10, 2010",8325771,"Cavity-dumped pulsed solid-state laser with variable pulse-duration
"
91,"Coherent, Inc.","September 19, 2011",8290017,"Hermetically-sealed RF feed-through with integrated capacitor
"
92,"Coherent, Inc.","June 9, 2009",8265116,"Hermetically-sealed RF feed-through with integrated capacitor
"
93,"Coherent, Inc.","September 17, 2009",8243765,"Intracavity frequency-converted optically-pumped semiconductor optical
     parametric oscillator
"
94,"Coherent, Inc.","April 22, 2011",8233513,"Broad-area edge-emitting semiconductor laser with limited thermal contact
"
95,"Coherent, Inc.","May 12, 2009",8201954,"Compensation for transient heating of laser mirrors
"
96,"Coherent, Inc.","April 20, 2011",8199789,"Arrangement for RF power delivery to a gas discharge laser with cascaded
     transmission line sections
"
97,"Coherent, Inc.","April 12, 2011",8174751,"Two frequency resonantly excited MEMS mirror for diode-laser marker
"
98,"Coherent, Inc.","September 11, 2009",8170073,"Optically-pumped external-cavity surface-emitting semiconductor lasers
     with front-cooled gain-structures
"
99,"Coherent, Inc.","June 26, 2009",8160115,"Two-dimensional diode-laser array with broad-band output
"
100,"Coherent, Inc.","March 22, 2005",8129684,"Detection of hidden objects by terahertz heterodyne laser imaging
"
101,"Coherent, Inc.","April 1, 2010",8116346,"CO.sub.2 laser output power control during warm-up
"
102,"Coherent, Inc.","February 3, 2011",8050306,"Acousto-optically Q-switched CO.sub.2 laser
"
103,"Coherent, Inc.","September 24, 2007",8047663,"Beam dump for a very-high-intensity laser beam
"
104,"Coherent, Inc.","September 23, 2008",8000372,"Traveling-wave laser having a resonator including a direction-sensitive
     interferometer for establishing unidirectional circulation
"
105,"Coherent, Inc.","June 19, 2009",7991026,"Intracavity frequency-converted optically-pumped semiconductor laser with
     red-light output
"
106,"Coherent, Inc.","August 19, 2002",RE42499,"System and method for amplifying an optical pulse and pumping laser
     therefor
"
107,"Coherent, Inc.","July 2, 2008",7970038,"Slab laser with stand-off for ceramic spacers
"
108,"Coherent, Inc.","June 10, 2009",7970037,"Arrangement for RF power delivery to a gas discharge laser with cascaded
     transmission line sections
"
109,"Coherent, Inc.","December 31, 2009",7965757,"Thermal distortion compensation for laser mirrors
"
110,"Coherent, Inc.","September 29, 2008",7961370,"Two frequency resonantly excited MEMS mirror for diode-laser marker
"
111,"Coherent, Inc.","June 2, 2008",7952806,"Multicolor diode-laser module
"
112,"Coherent, Inc.","September 29, 2008",7952603,"Diode-laser marker with one-axis scanning mirror mounted on a translatable
     carriage
"
113,"Coherent, Inc.","September 18, 2008",7952602,"Wide field diode-laser marker with swinging projection-optics
"
114,"Coherent, Inc.","June 4, 2009",7944305,"RF pre-amplifiers and power amplifiers
"
115,"Coherent, Inc.","December 15, 2008",7920606,"Frequency-tripled fiber MOPA
"
116,"Coherent, Inc.","October 25, 2006",7916764,"Output power control for harmonic-generating laser
"
117,"Coherent, Inc.","November 13, 2009",7903711,"Separate confinement heterostructure with asymmetric structure and
     composition
"
118,"Coherent, Inc.","May 1, 2008",7903699,"Acousto-optically Q-switched CO.sub.2 laser
"
119,"Coherent, Inc.","October 2, 2008",7894493,"Ultrashort seed-pulse generating laser with integral pulse shaping
"
120,"Coherent, Inc.","December 17, 2007",7891821,"Laser beam transformer and projector having stacked plates
"
121,"Coherent, Inc.","June 19, 2009",7889775,"Particle damage protection for high power CO.sub.2 slab laser mirrors
"
122,"Coherent, Inc.","April 1, 2009",7885308,"Frequency-agile RF-power excitation for driving diffusion-cooled
     sealed-off, RF-excited gas lasers
"
123,"Coherent, Inc.","January 29, 2008",7881349,"External-cavity optically-pumped semiconductor-laser with a resonator stop
"
124,"Coherent, Inc.","February 13, 2009",7843653,"Achromatic flat top beam shaping
"
125,"Coherent, Inc.","October 16, 2008",7843479,"Method for providing a plurality of laser-printed labels from a medium
     supported on a disc
"
126,"Coherent, Inc.","December 22, 2008",7822080,"High power pulsed fiber laser
"
127,"Coherent, Inc.","May 21, 2007",7804879,"Gas laser electrodes shaped in the longitudinal axis
"
128,"Coherent, Inc.","July 26, 2006",7787506,"Gain-switched fiber laser system
"
129,"Coherent, Inc.","December 8, 2008",7782920,"Edge-emitting semiconductor laser with photonic-bandgap structure formed
     by intermixing
"
130,"Coherent, Inc.","July 9, 2008",7760788,"Bandwidth-limited and long pulse master oscillator power oscillator laser
     systems
"
131,"Coherent, Inc.","October 16, 2008",7760772,"Cavity-dumped pulsed solid-state laser with variable pulse-duration
"
132,"Coherent, Inc.","February 19, 2008",7756186,"Unstable resonator with variable output coupling
"
133,"Coherent, Inc.","February 27, 2007",7756184,"Electrodes for generating a stable discharge in gas laser system
"
134,"Coherent, Inc.","March 26, 2008",7756182,"RF excited CO.sub.2 slab laser tube housing and electrodes cooling
"
135,"Coherent, Inc.","February 27, 2007",7755452,"Power combiner
"
136,"Coherent, Inc.","June 12, 2008",7738515,"Quasi-CW UV laser with low peak pulse-power
"
137,"Coherent, Inc.","June 29, 2007",7724785,"Multiple pulsed-laser system for silicon crystallization
"
138,"Coherent, Inc.","October 30, 2006",7724453,"Vacuum cell for optical components
"
139,"Coherent, Inc.","February 21, 2007",7723169,"Laser beam micro-smoothing
"
140,"Coherent, Inc.","May 14, 2007",7706069,"Attenuator for high-power unpolarized laser beams
"
141,"Coherent, Inc.","February 4, 2009",7697207,"High power and high brightness diode-laser array for material processing
     applications
"
142,"Coherent, Inc.","September 12, 2007",7693207,"Pre-ionizer for pulsed gas-discharge laser
"
143,"Coherent, Inc.","October 22, 2007",7692854,"Repetitively pulsed laser and amplifier with dual resonator for
     pulse-energy management
"
144,"Coherent, Inc.","June 11, 2007",7688493,"Non-fourier pulse-shapers including a combined pulse-shaper and
     pulse-compressor
"
145,California Institute of Technology,"June 20, 2008",7687773,"Sub-millimeter wave frequency heterodyne detector system
"
146,"Coherent, Inc.","August 30, 2006",7686224,"Lensed dual diode-laser bar package
"
147,"Coherent, Inc.","March 26, 2008",7675673,"Apparatus for providing multiple time-division multiplexed independently
     controllable pulsed beams from a single, pulsed laser output-beam
"
148,"Coherent, Inc.","July 7, 2008",7664159,"Thermal distortion compensation for laser mirrors
"
149,"Coherent, Inc.","June 29, 2007",7659989,"Focus determination for laser-mask imaging systems
"
150,"Coherent, Inc.","November 15, 2006",7649924,"First-pulse suppression in a regenerative amplifier
"
151,"Coherent, Inc.","May 19, 2005",7643530,"High-power external-cavity optically-pumped semiconductor lasers
"
152,"Coherent, Inc.","May 10, 2007",7638798,"Laminated wafer sensor system for UV dose measurement
"
153,"Coherent, Inc.","February 6, 2008",7633562,"Laser illuminated projection displays
"
154,"Coherent, Inc.","May 29, 2007",7620092,"Multimode MOPA with thermal lens compensation
"
155,"Coherent, Inc.","August 28, 2008",7615761,"Trace evidence detection using multiple laser light sources
"
156,"Coherent, Inc.","July 17, 2006",7615722,"Amorphous silicon crystallization using combined beams from optically
     pumped semiconductor lasers
"
157,"Coherent, Inc.","May 23, 2007",7605673,"Transformer for impedance-matching power output of RF amplifier to
     gas-laser discharge
"
158,"Coherent, Inc.","March 23, 2006",7593440,"MOPA laser apparatus with two master oscillators for generating
     ultraviolet radiation
"
159,"Coherent, Inc.","May 15, 2006",7593437,"MOPA laser apparatus with two master oscillators for generating
     ultraviolet radiation
"
160,"Coherent, Inc.","February 14, 2008",7558308,"High power low inductance RF hermetic sealed feed-through for slab CO2
     lasers
"
161,"Coherent, Inc.","September 20, 2006",7545842,"Pre-ionizer for pulsed gas-discharge laser
"
162,"Coherent, Inc.","June 4, 2007",7545838,"Incoherent combination of laser beams
"
163,"Coherent, Inc.","August 13, 2008",7542192,"Adjustable pulse-shaper
"
164,"Coherent, Inc.","March 19, 2008",7540779,"RF shielded, series inductor, high RF power impedance matching
     interconnector for CO.sub.2 slab laser
"
165,"Coherent, Inc.","July 18, 2006",7515346,"High power and high brightness diode-laser array for material processing
     applications
"
166,"Coherent, Inc.","September 2, 2004",7508850,"Apparatus for modifying CO.sub.2 slab laser pulses
"
167,"Coherent, Inc.","September 21, 2007",7508579,"Double-pass fiber amplifier
"
168,California Institute of Technology,"October 1, 2004",7507963,"Sub-millimeter wave frequency heterodyne detector system
"
169,"Coherent, Inc.","August 29, 2007",7505491,"Frequency-converted high-power laser with recirculating polarization
     control
"
170,"Coherent, Inc.","October 20, 2006",7502404,"Optical pumping method for gain-media with polarization sensitive
     absorption
"
171,"Coherent, Inc.","November 2, 2006",7502398,"Thermally tuned diode-laser bar package
"
172,"Coherent, Inc.","July 12, 2006",7466728,"Method for laterally-coupling frequency-converted laser radiation out of a
     resonator
"
173,"Coherent, Inc.","April 26, 2004",7463657,"Intracavity frequency-tripled CW laser
"
174,"Coherent, Inc.","July 12, 2006",7453918,"Pulsed RF high pressure CO.sub.2 lasers
"
175,"Coherent, Inc.","May 10, 2007",7447245,"Optically pumped semiconductor laser pumped optical parametric oscillator
"
176,"Coherent, Inc.","February 15, 2005",7443891,"Widely tunable laser
"
177,"Coherent, Inc.","September 21, 2007",7440181,"Double-pass fiber amplifier
"
178,"Coherent, Inc.","December 21, 2006",7433374,"Frequency-doubled edge-emitting semiconductor lasers
"
179,"Coherent, Inc.","November 20, 2006",7430071,"Adjustable pulse-shaper
"
180,"Coherent, Inc.","November 17, 2005",7428039,"Method and apparatus for providing uniform illumination of a mask in laser
     projection systems
"
181,"Coherent, Inc.","June 1, 2005",7418022,"Bandwidth-limited and long pulse master oscillator power oscillator laser
     systems
"
182,"Coherent, Inc.","September 29, 2005",7413311,"Speckle reduction in laser illuminated projection displays having a
     one-dimensional spatial light modulator
"
183,"Coherent, Inc.","December 13, 2006",7411989,"Mechanically Q-switched CO.sub.2 laser
"
184,"Coherent, Inc.","May 6, 2005",7408970,"Optically pumped external-cavity semiconductor laser with multiple gain
     structures
"
185,"Coherent, Inc.","February 9, 2006",7408714,"Method and apparatus for coupling laser beams
"
186,"Coherent, Inc.","March 8, 2007",7403550,"Quasi-CW UV laser with low peak pulse-power
"
187,"Coherent, Inc.","June 29, 2007",7400794,"Transport optical fiber for Q-switched lasers
"
188,"Coherent, Inc.","March 8, 2007",7400658,"Quasi-CW UV laser with low peak pulse-power
"
189,"Coherent, Inc.","July 31, 2007",7385752,"Disposal of residual radiation from a frequency-conversion process
"
190,"Coherent, Inc.","August 30, 2006",7378658,"Security portal with THz trans-receiver
"
191,"Coherent, Inc.","February 7, 2005",7355800,"Apparatus for projecting a line of light from a diode-laser array
"
192,"Coherent, Inc.","December 14, 2004",7355657,"Laser illuminated projection displays
"
193,"Coherent, Inc.","September 20, 2005",7345279,"Identification of hidden objects by terahertz heterodyne laser imaging
"
194,"Coherent, Inc.","March 22, 2006",7336691,"Apparatus for combining beams from repetitively pulsed lasers along a
     common path
"
195,"Coherent, Inc.","February 6, 2006",7331676,"Apparatus for projecting a reduced image of a photomask using a
     schwarzschild objective
"
196,"Coherent, Inc.","October 3, 2006",7327769,"Injection locking Q-switched and Q-switched cavity dumped CO.sub.2 lasers
     for extreme UV generation
"
197,"Coherent, Inc.","May 14, 2007",7327518,"Attenuator for high-power unpolarized laser beams
"
198,"Coherent, Inc.","July 29, 2005",7300809,"Optically pumped edge-emitting semiconductor laser
"
199,"Coherent, Inc.","August 2, 2006",7289263,"Double-pass fiber amplifier
"
200,"Coherent, Inc.","March 15, 2006",7286283,"Optical fiber coupling arrangement
"
201,"Coherent, Inc.","July 8, 2004",7280569,"Electro-optical modulator module for CO.sub.2 laser Q-switching,
     mode-locking, and cavity dumping
"
202,"Coherent, Inc.","July 30, 2004",7272956,"Method for manufacturing a multimode fiber pump power combiner
"
203,"Coherent, Inc.","December 19, 2005",7265908,"Apparatus for projecting a line of light from a diode-laser array
"
204,"Coherent, Inc.","August 5, 2004",7263116,"Dielectric coupled CO.sub.2 slab laser
"
205,"Coherent, Inc.","June 17, 2004",7260134,"Dielectric coupled CO.sub.2 slab laser
"
206,"Coherent, Inc.","August 30, 2005",7259914,"Attenuator for high-power unpolarized laser beams
"
207,"Coherent, Inc.","January 19, 2005",7254156,"Line-narrowed dye laser
"
208,"Coherent, Inc.","July 29, 2005",7254153,"Optically pumped semiconductor ring laser
"
209,"Coherent, Inc.","August 24, 2004",7251260,"Wavelength-locked fiber-coupled diode-laser bar
"
210,"Coherent, Inc.","August 17, 2004",7251259,"Wavelength locked fiber-coupled diode-laser bar
"
211,"Coherent, Inc.","December 14, 2004",7244028,"Laser illuminated projection displays
"
212,"Coherent, Inc.","October 5, 2004",7242700,"Stabilized frequency-converted laser system
"
213,"Coherent, Inc.","August 12, 2004",7239656,"Closed-loop purging system for laser
"
214,"Coherent, Inc.","August 7, 2003",7221452,"Tunable optical filter, optical apparatus for use therewith and method
     utilizing same
"
215,"Coherent, Inc.","March 16, 2004",7212553,"Wavelength stabilized diode-laser array
"
216,"Coherent, Inc.","March 16, 2005",7203214,"Off-peak optical pumping of yttrium orthovanadate
"
217,"Coherent, Inc.","January 20, 2004",7199330,"Systems and methods for forming a laser beam having a flat top
"
218,"Coherent, Inc.","March 31, 2006",7184216,"Optical pulse duration extender
"
219,"Coherent, Inc.","October 28, 2003",7180928,"High-power external-cavity optically-pumped semiconductor lasers
"
220,"Coherent, Inc.","April 24, 2003",7164108,"Detection system for optical beam pointing and shaping
"
221,"Coherent, Inc.","August 19, 2003",7139300,"Wide-stripe single-mode diode-laser
"
222,"Coherent, Inc.","July 25, 2006",7139119,"Fiber amplifier with suppression of amplified spontaneous emission
"
223,"Coherent, Inc.","June 14, 2004",7136408,"InGaN diode-laser pumped II-VI semiconductor lasers
"
224,"Coherent, Inc.","April 16, 2004",7130321,"Intracavity frequency-tripled CW laser with traveling-wave ring-resonator
"
225,"Coherent, Inc.","March 14, 2003",7113529,"Pulsed CO.sub.2 laser including an optical damage resistant
     electro-optical switching arrangement
"
226,"Coherent, Inc.","October 14, 2004",7106501,"Fiber amplifier with suppression of amplified spontaneous emission
"
227,"Coherent, Inc.","July 30, 2002",7091647,"Micromechanical device having braking mechanism
"
228,"Coherent, Inc.","March 23, 2004",7088450,"Method and apparatus for measuring amplified stimulated emission in the
     output of a master oscillator power amplifier system
"
229,"Coherent, Inc.","May 28, 2004",7077564,"Laser power meter
"
230,"Coherent, Inc.","December 19, 2003",7058093,"Q-switched, cavity dumped laser systems for material processing
"
231,"Coherent, Inc.","November 18, 2003",7046709,"CO.sub.2 waveguide laser with beryllium oxide waveguides
"
232,"Coherent, Inc.","February 9, 2004",7046432,"Optical fiber coupling arrangement
"
233,"Coherent, Inc.","September 6, 2002",7044653,"Microassembly and method for using same
"
234,"Coherent, Inc.","March 14, 2003",7039079,"Pulsed CO.sub.2 laser including an optical damage resistant
     electro-optical switching arrangement
"
235,"Coherent, Inc.","October 1, 2003",7038781,"Time correlation of ultrafast laser pulses
"
236,"Coherent, Inc.","March 1, 2004",7035012,"Optical pulse duration extender
"
237,"Coherent, Inc.","September 22, 2003",7016393,"Apparatus for projecting a line of light from a diode-laser array
"
238,"Coherent, Inc.","October 7, 2002",7010194,"Method and apparatus for coupling radiation from a stack of diode-laser
     bars into a single-core optical fiber
"
239,"Coherent, Inc.","June 11, 2003",7006549,"Apparatus for reducing spacing of beams delivered by stacked diode-laser
     bars
"
240,"Coherent, Inc.","July 21, 2003",7003003,"Method and apparatus for providing multiple independently controllable
     beams from a single laser output beam
"
241,"Coherent, Inc.","July 21, 2003",6999490,"Discharge igniter for a waveguide CO.sub.2 laser
"
242,"Coherent, Inc.","June 11, 2003",6993059,"Apparatus for reducing spacing of beams delivered by stacked diode-laser
     bars
"
243,"Coherent, Inc.","September 3, 2004",6990278,"Mode multiplexing optical coupling device
"
244,"Coherent, Inc.","September 29, 2003",6980358," Turning prism for ultraviolet radiation
"
245,"Coherent, Inc.","January 28, 2004",6963596," Pre-ionizer for RF-energized gas laser
"
246,"Coherent, Inc.","August 24, 2004",6963591," Solid state system and method for generating ultraviolet light
"
247,"Coherent, Inc.","January 29, 2004",6947466," Optically pumped edge-emitting semiconductor laser
"
248,"Coherent, Inc.","March 11, 2003",6940880," Optically pumped semiconductor ring laser
"
249,"Coherent, Inc.","April 14, 2003",6931035," Q-switching method for pulse train generation
"
250,"Coherent, Inc.","January 14, 2002",6913794," Diode-laser curing of liquid epoxide encapsulants
"
251,"Coherent, Inc.","December 20, 2002",6898231," Off-peak optical pumping of yttrium orthovanadate
"
252,"Coherent, Inc.","April 4, 2002",6826204," Q-switched CO2 laser for material processing
"
253,"Coherent, Inc.","December 7, 2001",6823117," Mode multiplexing optical coupling device
"
254,"Coherent, Inc.","October 21, 2002",6798816," Folded tapered-waveguide CO2 laser
"
255,"Coherent, Inc.","July 9, 2001",6798813," Closed-loop purging system for laser
"
256,"Coherent, Inc.","July 10, 2000",6788722," High power waveguide laser
"
257,"Coherent, Inc.","April 1, 1999",6785440," Assembly for focusing and coupling the radiation produced by a
     semiconductor laser into optical fibers
"
258,"Electro Scientific Industries, Inc.","May 9, 2002",6784399," Micromachining with high-energy, intra-cavity Q-switched CO2  laser pulses
"
259,"Coherent, Inc.","January 18, 2002",6782033," Rotatable laser window with spring-loaded bearing
"
260,"Coherent, Inc.","January 7, 2002",6773142," Apparatus for projecting a line of light from a diode-laser array
"
261,"Coherent, Inc.","October 18, 2001",6771683," Intra-cavity beam homogenizer resonator
"
262,"Coherent, Inc.","April 4, 2002",6697408," Q-switched cavity dumped CO2 laser for material processing
"
263,"Coherent, Inc.","August 14, 2002",6687270," Digital electronic synchronization of ultrafast lasers
"
264,"Coherent, Inc.","June 26, 2002",6683901," High-power external-cavity optically-pumped semiconductor lasers
"
265,"Coherent, Inc.","October 25, 2001",6683893," Q-switching method for pulse train generation
"
266,"Coherent, Inc.","June 10, 2002",6671303," Closed-loop purging system for laser
"
267,"Coherent, Inc.","October 7, 2002",6661830," Tunable optically-pumped semiconductor laser including a polarizing
     resonator mirror
"
268,"Coherent, Inc.","October 2, 2001",6650668," Cylindrical two-dimensional diode-laser arrays and method for making same
"
269,"Coherent, Inc.","November 4, 2002",6631155," Multi-output laser-radiation source
"
270,"Coherent, Inc.","October 6, 1999",6620347," Crystalline filters for ultraviolet light sensors
"
271,"Coherent, Inc.","August 26, 2002",6612719," Diode-laser line-illuminating system
"
272,"Coherent, Inc.","November 21, 2001",6603600," Chirped pulse amplification method and apparatus
"
273,"Coherent, Inc.","November 28, 2000",6603498," Printer head with linear array of individually addressable diode-lasers
"
